year,qtr,state_fips,low,high
2006,1,1,1.4,1.5
2006,1,2,1.5,1.6
2006,1,4,2.06,
2006,1,5,1.32,1.4
2006,1,6,2.06,
2006,1,8,2.06,
2006,1,9,1.5,1.6
2006,1,10,1.32,1.4
2006,1,11,0.4,1.11
2006,1,12,2.06,
2006,1,13,1.84,2.06
2006,1,15,2.06,
2006,1,16,1.84,2.06
2006,1,17,1.5,1.6
2006,1,18,1.4,1.5
2006,1,19,1.11,1.24
2006,1,20,1.24,1.32
2006,1,21,1.32,1.4
2006,1,22,1.11,1.24
2006,1,23,1.72,1.84
2006,1,24,2.06,
2006,1,25,1.6,1.72
2006,1,26,1.72,1.84
2006,1,27,1.72,1.84
2006,1,28,1.24,1.32
2006,1,29,1.4,1.5
2006,1,30,1.72,1.84
2006,1,31,1.24,1.32
2006,1,32,2.06,
2006,1,33,1.84,2.06
2006,1,34,1.72,1.84
2006,1,35,1.72,1.84
2006,1,36,1.11,1.24
2006,1,37,1.72,1.84
2006,1,38,0.4,1.11
2006,1,39,1.4,1.5
2006,1,40,1.24,1.32
2006,1,41,1.84,2.06
2006,1,42,1.32,1.4
2006,1,44,1.84,2.06
2006,1,45,1.84,2.06
2006,1,46,1.6,1.72
2006,1,47,1.4,1.5
2006,1,48,1.11,1.24
2006,1,49,1.84,2.06
2006,1,50,1.4,1.5
2006,1,51,1.84,2.06
2006,1,53,2.06,
2006,1,54,1.24,1.32
2006,1,55,1.32,1.4
2006,1,56,1.32,1.4
2006,2,1,1.5,1.6
2006,2,2,1.6,1.72
2006,2,4,2.06,
2006,2,5,1.4,1.5
2006,2,6,2.06,
2006,2,8,2.06,
2006,2,9,1.6,1.72
2006,2,10,1.4,1.5
2006,2,11,0.4,1.11
2006,2,12,2.06,
2006,2,13,1.84,2.06
2006,2,15,2.06,
2006,2,16,1.84,2.06
2006,2,17,1.6,1.72
2006,2,18,1.5,1.6
2006,2,19,1.24,1.32
2006,2,20,1.32,1.4
2006,2,21,1.4,1.5
2006,2,22,1.24,1.32
2006,2,23,1.84,2.06
2006,2,24,2.06,
2006,2,25,1.6,1.72
2006,2,26,1.72,1.84
2006,2,27,1.72,1.84
2006,2,28,1.4,1.5
2006,2,29,1.5,1.6
2006,2,30,1.84,2.06
2006,2,31,1.32,1.4
2006,2,32,2.06,
2006,2,33,2.06,
2006,2,34,1.72,1.84
2006,2,35,1.72,1.84
2006,2,36,1.24,1.32
2006,2,37,1.72,1.84
2006,2,38,1.11,1.24
2006,2,39,1.5,1.6
2006,2,40,1.32,1.4
2006,2,41,2.06,
2006,2,42,1.4,1.5
2006,2,44,1.84,2.06
2006,2,45,1.84,2.06
2006,2,46,1.6,1.72
2006,2,47,1.5,1.6
2006,2,48,1.24,1.32
2006,2,49,1.84,2.06
2006,2,50,1.6,1.72
2006,2,51,2.06,
2006,2,53,2.06,
2006,2,54,1.32,1.4
2006,2,55,1.4,1.5
2006,2,56,1.32,1.4
2006,3,1,1.5,1.6
2006,3,2,1.72,1.84
2006,3,4,2.06,
2006,3,5,1.4,1.5
2006,3,6,2.06,
2006,3,8,2.06,
2006,3,9,1.72,1.84
2006,3,10,1.6,1.72
2006,3,11,0.4,1.11
2006,3,12,2.06,
2006,3,13,2.06,
2006,3,15,2.06,
2006,3,16,2.06,
2006,3,17,1.6,1.72
2006,3,18,1.5,1.6
2006,3,19,1.32,1.4
2006,3,20,1.32,1.4
2006,3,21,1.4,1.5
2006,3,22,1.32,1.4
2006,3,23,1.84,2.06
2006,3,24,2.06,
2006,3,25,1.72,1.84
2006,3,26,1.72,1.84
2006,3,27,1.84,2.06
2006,3,28,1.4,1.5
2006,3,29,1.5,1.6
2006,3,30,1.84,2.06
2006,3,31,1.4,1.5
2006,3,32,2.06,
2006,3,33,2.06,
2006,3,34,1.84,2.06
2006,3,35,1.72,1.84
2006,3,36,1.32,1.4
2006,3,37,1.84,2.06
2006,3,38,1.11,1.24
2006,3,39,1.5,1.6
2006,3,40,1.4,1.5
2006,3,41,2.06,
2006,3,42,1.4,1.5
2006,3,44,1.84,2.06
2006,3,45,1.84,2.06
2006,3,46,1.84,2.06
2006,3,47,1.5,1.6
2006,3,48,1.24,1.32
2006,3,49,1.84,2.06
2006,3,50,1.6,1.72
2006,3,51,2.06,
2006,3,53,2.06,
2006,3,54,1.4,1.5
2006,3,55,1.4,1.5
2006,3,56,1.32,1.4
2006,4,1,1.6,1.72
2006,4,2,1.72,1.84
2006,4,4,2.06,
2006,4,5,1.4,1.5
2006,4,6,2.06,
2006,4,8,2.06,
2006,4,9,1.72,1.84
2006,4,10,1.6,1.72
2006,4,11,0.4,1.11
2006,4,12,2.06,
2006,4,13,2.06,
2006,4,15,2.06,
2006,4,16,2.06,
2006,4,17,1.72,1.84
2006,4,18,1.6,1.72
2006,4,19,1.32,1.4
2006,4,20,1.32,1.4
2006,4,21,1.4,1.5
2006,4,22,1.32,1.4
2006,4,23,1.84,2.06
2006,4,24,2.06,
2006,4,25,1.72,1.84
2006,4,26,1.84,2.06
2006,4,27,1.84,2.06
2006,4,28,1.5,1.6
2006,4,29,1.6,1.72
2006,4,30,1.84,2.06
2006,4,31,1.4,1.5
2006,4,32,2.06,
2006,4,33,2.06,
2006,4,34,1.84,2.06
2006,4,35,1.84,2.06
2006,4,36,1.32,1.4
2006,4,37,1.84,2.06
2006,4,38,1.11,1.24
2006,4,39,1.6,1.72
2006,4,40,1.4,1.5
2006,4,41,2.06,
2006,4,42,1.4,1.5
2006,4,44,2.06,
2006,4,45,1.84,2.06
2006,4,46,1.72,1.84
2006,4,47,1.5,1.6
2006,4,48,1.24,1.32
2006,4,49,1.84,2.06
2006,4,50,1.6,1.72
2006,4,51,2.06,
2006,4,53,2.06,
2006,4,54,1.4,1.5
2006,4,55,1.5,1.6
2006,4,56,1.32,1.4
