year,qtr,state_fips,low,high
2000,1,1,0.4,1.11
2000,1,2,1.24,1.32
2000,1,4,1.24,1.32
2000,1,5,0.4,1.11
2000,1,6,1.4,1.5
2000,1,8,1.32,1.4
2000,1,9,0.4,1.11
2000,1,10,0.4,1.11
2000,1,11,0.4,1.11
2000,1,12,1.4,1.5
2000,1,13,1.24,1.32
2000,1,15,1.72,1.84
2000,1,16,1.4,1.5
2000,1,17,0.4,1.11
2000,1,18,0.4,1.11
2000,1,19,0.4,1.11
2000,1,20,0.4,1.11
2000,1,21,0.4,1.11
2000,1,22,0.4,1.11
2000,1,23,1.11,1.24
2000,1,24,1.6,1.72
2000,1,25,0.4,1.11
2000,1,26,0.4,1.11
2000,1,27,0.4,1.11
2000,1,28,1.11,1.24
2000,1,29,0.4,1.11
2000,1,30,1.32,1.4
2000,1,31,0.4,1.11
2000,1,32,1.4,1.5
2000,1,33,0.4,1.11
2000,1,34,0.4,1.11
2000,1,35,1.4,1.5
2000,1,36,0.4,1.11
2000,1,37,1.11,1.24
2000,1,38,0.4,1.11
2000,1,39,0.4,1.11
2000,1,40,0.4,1.11
2000,1,41,1.32,1.4
2000,1,42,0.4,1.11
2000,1,44,1.11,1.24
2000,1,45,1.24,1.32
2000,1,46,0.4,1.11
2000,1,47,1.11,1.24
2000,1,48,0.4,1.11
2000,1,49,1.32,1.4
2000,1,50,1.11,1.24
2000,1,51,1.32,1.4
2000,1,53,1.32,1.4
2000,1,54,0.4,1.11
2000,1,55,0.4,1.11
2000,1,56,0.4,1.11
2000,2,1,1.11,1.24
2000,2,2,1.24,1.32
2000,2,4,1.32,1.4
2000,2,5,0.4,1.11
2000,2,6,1.5,1.6
2000,2,8,1.32,1.4
2000,2,9,0.4,1.11
2000,2,10,0.4,1.11
2000,2,11,0.4,1.11
2000,2,12,1.4,1.5
2000,2,13,1.24,1.32
2000,2,15,1.72,1.84
2000,2,16,1.4,1.5
2000,2,17,0.4,1.11
2000,2,18,0.4,1.11
2000,2,19,0.4,1.11
2000,2,20,0.4,1.11
2000,2,21,0.4,1.11
2000,2,22,0.4,1.11
2000,2,23,1.11,1.24
2000,2,24,1.6,1.72
2000,2,25,0.4,1.11
2000,2,26,0.4,1.11
2000,2,27,0.4,1.11
2000,2,28,1.11,1.24
2000,2,29,0.4,1.11
2000,2,30,1.32,1.4
2000,2,31,0.4,1.11
2000,2,32,1.4,1.5
2000,2,33,1.11,1.24
2000,2,34,0.4,1.11
2000,2,35,1.4,1.5
2000,2,36,0.4,1.11
2000,2,37,1.24,1.32
2000,2,38,0.4,1.11
2000,2,39,1.11,1.24
2000,2,40,0.4,1.11
2000,2,41,1.4,1.5
2000,2,42,0.4,1.11
2000,2,44,1.11,1.24
2000,2,45,1.32,1.4
2000,2,46,0.4,1.11
2000,2,47,1.11,1.24
2000,2,48,0.4,1.11
2000,2,49,1.4,1.5
2000,2,50,1.11,1.24
2000,2,51,1.4,1.5
2000,2,53,1.4,1.5
2000,2,54,0.4,1.11
2000,2,55,0.4,1.11
2000,2,56,1.11,1.24
2000,3,1,1.11,1.24
2000,3,2,1.32,1.4
2000,3,4,1.4,1.5
2000,3,5,0.4,1.11
2000,3,6,1.5,1.6
2000,3,8,1.32,1.4
2000,3,9,0.4,1.11
2000,3,10,1.11,1.24
2000,3,11,0.4,1.11
2000,3,12,1.4,1.5
2000,3,13,1.24,1.32
2000,3,15,1.84,2.06
2000,3,16,1.4,1.5
2000,3,17,0.4,1.11
2000,3,18,1.11,1.24
2000,3,19,0.4,1.11
2000,3,20,0.4,1.11
2000,3,21,1.11,1.24
2000,3,22,0.4,1.11
2000,3,23,1.11,1.24
2000,3,24,1.6,1.72
2000,3,25,0.4,1.11
2000,3,26,1.11,1.24
2000,3,27,0.4,1.11
2000,3,28,1.11,1.24
2000,3,29,0.4,1.11
2000,3,30,1.4,1.5
2000,3,31,0.4,1.11
2000,3,32,1.4,1.5
2000,3,33,1.11,1.24
2000,3,34,0.4,1.11
2000,3,35,1.4,1.5
2000,3,36,0.4,1.11
2000,3,37,1.24,1.32
2000,3,38,0.4,1.11
2000,3,39,1.11,1.24
2000,3,40,0.4,1.11
2000,3,41,1.4,1.5
2000,3,42,0.4,1.11
2000,3,44,1.24,1.32
2000,3,45,1.32,1.4
2000,3,46,0.4,1.11
2000,3,47,1.11,1.24
2000,3,48,0.4,1.11
2000,3,49,1.4,1.5
2000,3,50,0.4,1.11
2000,3,51,1.4,1.5
2000,3,53,1.5,1.6
2000,3,54,0.4,1.11
2000,3,55,0.4,1.11
2000,3,56,1.11,1.24
2000,4,1,1.24,1.32
2000,4,2,1.32,1.4
2000,4,4,1.4,1.5
2000,4,5,0.4,1.11
2000,4,6,1.6,1.72
2000,4,8,1.4,1.5
2000,4,9,0.4,1.11
2000,4,10,0.4,1.11
2000,4,11,0.4,1.11
2000,4,12,1.5,1.6
2000,4,13,1.32,1.4
2000,4,15,1.84,2.06
2000,4,16,1.5,1.6
2000,4,17,0.4,1.11
2000,4,18,1.11,1.24
2000,4,19,0.4,1.11
2000,4,20,0.4,1.11
2000,4,21,1.11,1.24
2000,4,22,1.11,1.24
2000,4,23,1.24,1.32
2000,4,24,1.6,1.72
2000,4,25,0.4,1.11
2000,4,26,1.11,1.24
2000,4,27,0.4,1.11
2000,4,28,1.24,1.32
2000,4,29,0.4,1.11
2000,4,30,1.5,1.6
2000,4,31,0.4,1.11
2000,4,32,1.6,1.72
2000,4,33,1.24,1.32
2000,4,34,0.4,1.11
2000,4,35,1.5,1.6
2000,4,36,0.4,1.11
2000,4,37,1.32,1.4
2000,4,38,0.4,1.11
2000,4,39,1.11,1.24
2000,4,40,0.4,1.11
2000,4,41,1.5,1.6
2000,4,42,0.4,1.11
2000,4,44,1.24,1.32
2000,4,45,1.4,1.5
2000,4,46,0.4,1.11
2000,4,47,1.24,1.32
2000,4,48,0.4,1.11
2000,4,49,1.5,1.6
2000,4,50,1.11,1.24
2000,4,51,1.4,1.5
2000,4,53,1.6,1.72
2000,4,54,1.11,1.24
2000,4,55,0.4,1.11
2000,4,56,1.11,1.24
