year,qtr,state_fips,low,high
2019,1,1,1.32,1.4
2019,1,2,1.5,1.6
2019,1,4,1.6,1.72
2019,1,5,1.11,1.24
2019,1,6,1.6,1.72
2019,1,8,1.6,1.72
2019,1,9,1.32,1.4
2019,1,10,1.4,1.5
2019,1,11,0.4,1.11
2019,1,12,1.6,1.72
2019,1,13,1.32,1.4
2019,1,15,2.06,
2019,1,16,1.72,1.84
2019,1,17,1.11,1.24
2019,1,18,1.11,1.24
2019,1,19,1.11,1.24
2019,1,20,0.4,1.11
2019,1,21,1.11,1.24
2019,1,22,1.32,1.4
2019,1,23,1.5,1.6
2019,1,24,1.84,2.06
2019,1,25,1.11,1.24
2019,1,26,1.11,1.24
2019,1,27,1.24,1.32
2019,1,28,1.32,1.4
2019,1,29,1.11,1.24
2019,1,30,1.72,1.84
2019,1,31,1.11,1.24
2019,1,32,1.6,1.72
2019,1,33,1.5,1.6
2019,1,34,1.4,1.5
2019,1,35,1.4,1.5
2019,1,36,0.4,1.11
2019,1,37,1.4,1.5
2019,1,38,0.4,1.11
2019,1,39,1.11,1.24
2019,1,40,1.11,1.24
2019,1,41,1.6,1.72
2019,1,42,1.11,1.24
2019,1,44,1.4,1.5
2019,1,45,1.6,1.72
2019,1,46,1.11,1.24
2019,1,47,1.24,1.32
2019,1,48,1.11,1.24
2019,1,49,1.5,1.6
2019,1,50,1.32,1.4
2019,1,51,1.72,1.84
2019,1,53,1.5,1.6
2019,1,54,1.11,1.24
2019,1,55,1.11,1.24
2019,1,56,1.4,1.5
2019,2,1,1.4,1.5
2019,2,2,1.6,1.72
2019,2,4,1.72,1.84
2019,2,5,1.24,1.32
2019,2,6,1.72,1.84
2019,2,8,1.72,1.84
2019,2,9,1.4,1.5
2019,2,10,1.5,1.6
2019,2,11,0.4,1.11
2019,2,12,1.72,1.84
2019,2,13,1.4,1.5
2019,2,15,2.06,
2019,2,16,1.84,2.06
2019,2,17,1.11,1.24
2019,2,18,1.24,1.32
2019,2,19,1.11,1.24
2019,2,20,1.11,1.24
2019,2,21,1.11,1.24
2019,2,22,1.32,1.4
2019,2,23,1.6,1.72
2019,2,24,1.84,2.06
2019,2,25,1.24,1.32
2019,2,26,1.11,1.24
2019,2,27,1.24,1.32
2019,2,28,1.4,1.5
2019,2,29,1.24,1.32
2019,2,30,1.72,1.84
2019,2,31,1.11,1.24
2019,2,32,1.72,1.84
2019,2,33,1.6,1.72
2019,2,34,1.5,1.6
2019,2,35,1.5,1.6
2019,2,36,0.4,1.11
2019,2,37,1.5,1.6
2019,2,38,0.4,1.11
2019,2,39,1.11,1.24
2019,2,40,1.11,1.24
2019,2,41,1.6,1.72
2019,2,42,1.11,1.24
2019,2,44,1.5,1.6
2019,2,45,1.72,1.84
2019,2,46,1.24,1.32
2019,2,47,1.32,1.4
2019,2,48,1.11,1.24
2019,2,49,1.72,1.84
2019,2,50,1.4,1.5
2019,2,51,1.84,2.06
2019,2,53,1.5,1.6
2019,2,54,1.24,1.32
2019,2,55,1.11,1.24
2019,2,56,1.5,1.6
2019,3,1,1.4,1.5
2019,3,2,1.6,1.72
2019,3,4,1.72,1.84
2019,3,5,1.24,1.32
2019,3,6,1.72,1.84
2019,3,8,1.72,1.84
2019,3,9,1.4,1.5
2019,3,10,1.5,1.6
2019,3,11,0.4,1.11
2019,3,12,1.72,1.84
2019,3,13,1.5,1.6
2019,3,15,2.06,
2019,3,16,1.84,2.06
2019,3,17,1.11,1.24
2019,3,18,1.24,1.32
2019,3,19,1.11,1.24
2019,3,20,1.11,1.24
2019,3,21,1.24,1.32
2019,3,22,1.4,1.5
2019,3,23,1.6,1.72
2019,3,24,1.84,2.06
2019,3,25,1.24,1.32
2019,3,26,1.24,1.32
2019,3,27,1.32,1.4
2019,3,28,1.4,1.5
2019,3,29,1.24,1.32
2019,3,30,1.84,2.06
2019,3,31,1.11,1.24
2019,3,32,1.72,1.84
2019,3,33,1.6,1.72
2019,3,34,1.5,1.6
2019,3,35,1.5,1.6
2019,3,36,0.4,1.11
2019,3,37,1.5,1.6
2019,3,38,0.4,1.11
2019,3,39,1.11,1.24
2019,3,40,1.24,1.32
2019,3,41,1.6,1.72
2019,3,42,1.24,1.32
2019,3,44,1.6,1.72
2019,3,45,1.72,1.84
2019,3,46,1.24,1.32
2019,3,47,1.32,1.4
2019,3,48,1.11,1.24
2019,3,49,1.72,1.84
2019,3,50,1.4,1.5
2019,3,51,1.84,2.06
2019,3,53,1.6,1.72
2019,3,54,1.24,1.32
2019,3,55,1.24,1.32
2019,3,56,1.5,1.6
